統計年,按照別,區域別代碼,區域別,懷孕期間,出生時體重,嬰兒出生數
111,按發生日期分,65000010,新北市板橋區,28週以下,1000克及以下,17
111,按發生日期分,65000010,新北市板橋區,28週以下,1001～1500克,4
111,按發生日期分,65000010,新北市板橋區,28週以下,1501～2000克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,2001～2500克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,2501～3000克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,3001～3500克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,3501～4000克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,4001～4500克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,28週以下,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,28～31週,1000克及以下,2
111,按發生日期分,65000010,新北市板橋區,28～31週,1001～1500克,9
111,按發生日期分,65000010,新北市板橋區,28～31週,1501～2000克,10
111,按發生日期分,65000010,新北市板橋區,28～31週,2001～2500克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,2501～3000克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,3001～3500克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,3501～4000克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,4001～4500克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,28～31週,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,32～35週,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,32～35週,1001～1500克,5
111,按發生日期分,65000010,新北市板橋區,32～35週,1501～2000克,24
111,按發生日期分,65000010,新北市板橋區,32～35週,2001～2500克,51
111,按發生日期分,65000010,新北市板橋區,32～35週,2501～3000克,23
111,按發生日期分,65000010,新北市板橋區,32～35週,3001～3500克,0
111,按發生日期分,65000010,新北市板橋區,32～35週,3501～4000克,0
111,按發生日期分,65000010,新北市板橋區,32～35週,4001～4500克,1
111,按發生日期分,65000010,新北市板橋區,32～35週,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,32～35週,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,36週,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,36週,1001～1500克,0
111,按發生日期分,65000010,新北市板橋區,36週,1501～2000克,11
111,按發生日期分,65000010,新北市板橋區,36週,2001～2500克,40
111,按發生日期分,65000010,新北市板橋區,36週,2501～3000克,55
111,按發生日期分,65000010,新北市板橋區,36週,3001～3500克,13
111,按發生日期分,65000010,新北市板橋區,36週,3501～4000克,3
111,按發生日期分,65000010,新北市板橋區,36週,4001～4500克,0
111,按發生日期分,65000010,新北市板橋區,36週,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,36週,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,37～39週,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,37～39週,1001～1500克,0
111,按發生日期分,65000010,新北市板橋區,37～39週,1501～2000克,4
111,按發生日期分,65000010,新北市板橋區,37～39週,2001～2500克,129
111,按發生日期分,65000010,新北市板橋區,37～39週,2501～3000克,941
111,按發生日期分,65000010,新北市板橋區,37～39週,3001～3500克,1039
111,按發生日期分,65000010,新北市板橋區,37～39週,3501～4000克,189
111,按發生日期分,65000010,新北市板橋區,37～39週,4001～4500克,11
111,按發生日期分,65000010,新北市板橋區,37～39週,4501～5000克,2
111,按發生日期分,65000010,新北市板橋區,37～39週,5001克及以上,1
111,按發生日期分,65000010,新北市板橋區,40週,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,40週,1001～1500克,0
111,按發生日期分,65000010,新北市板橋區,40週,1501～2000克,0
111,按發生日期分,65000010,新北市板橋區,40週,2001～2500克,4
111,按發生日期分,65000010,新北市板橋區,40週,2501～3000克,76
111,按發生日期分,65000010,新北市板橋區,40週,3001～3500克,138
111,按發生日期分,65000010,新北市板橋區,40週,3501～4000克,46
111,按發生日期分,65000010,新北市板橋區,40週,4001～4500克,8
111,按發生日期分,65000010,新北市板橋區,40週,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,40週,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,41～42週,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,41～42週,1001～1500克,0
111,按發生日期分,65000010,新北市板橋區,41～42週,1501～2000克,0
111,按發生日期分,65000010,新北市板橋區,41～42週,2001～2500克,1
111,按發生日期分,65000010,新北市板橋區,41～42週,2501～3000克,5
111,按發生日期分,65000010,新北市板橋區,41～42週,3001～3500克,11
111,按發生日期分,65000010,新北市板橋區,41～42週,3501～4000克,1
