統計年,按照別,行政區域代碼,區域別,性別,出生時體重,胎別,嬰兒出生數
112,按登記日期分,65000010,新北市板橋區,男,1000克及以下,單胎,8
112,按登記日期分,65000010,新北市板橋區,男,1000克及以下,雙胞胎,2
112,按登記日期分,65000010,新北市板橋區,男,1000克及以下,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1000克及以下,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1000克及以下,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,1001～1500克,單胎,3
112,按登記日期分,65000010,新北市板橋區,男,1001～1500克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1001～1500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1001～1500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1001～1500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,1501～2000克,單胎,15
112,按登記日期分,65000010,新北市板橋區,男,1501～2000克,雙胞胎,4
112,按登記日期分,65000010,新北市板橋區,男,1501～2000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1501～2000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,1501～2000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,2001～2500克,單胎,69
112,按登記日期分,65000010,新北市板橋區,男,2001～2500克,雙胞胎,19
112,按登記日期分,65000010,新北市板橋區,男,2001～2500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,2001～2500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,2001～2500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,2501～3000克,單胎,425
112,按登記日期分,65000010,新北市板橋區,男,2501～3000克,雙胞胎,6
112,按登記日期分,65000010,新北市板橋區,男,2501～3000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,2501～3000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,2501～3000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,3001～3500克,單胎,542
112,按登記日期分,65000010,新北市板橋區,男,3001～3500克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3001～3500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3001～3500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3001～3500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,3501～4000克,單胎,151
112,按登記日期分,65000010,新北市板橋區,男,3501～4000克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3501～4000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3501～4000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,3501～4000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,4001～4500克,單胎,13
112,按登記日期分,65000010,新北市板橋區,男,4001～4500克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4001～4500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4001～4500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4001～4500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,4501～5000克,單胎,0
112,按登記日期分,65000010,新北市板橋區,男,4501～5000克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4501～5000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4501～5000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4501～5000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,男,5001克及以上,單胎,0
112,按登記日期分,65000010,新北市板橋區,男,5001克及以上,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,5001克及以上,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,5001克及以上,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,5001克及以上,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,1000克及以下,單胎,5
112,按登記日期分,65000010,新北市板橋區,女,1000克及以下,雙胞胎,2
112,按登記日期分,65000010,新北市板橋區,女,1000克及以下,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1000克及以下,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1000克及以下,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,1001～1500克,單胎,7
112,按登記日期分,65000010,新北市板橋區,女,1001～1500克,雙胞胎,4
112,按登記日期分,65000010,新北市板橋區,女,1001～1500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1001～1500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1001～1500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,1501～2000克,單胎,18
112,按登記日期分,65000010,新北市板橋區,女,1501～2000克,雙胞胎,5
112,按登記日期分,65000010,新北市板橋區,女,1501～2000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1501～2000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,1501～2000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,2001～2500克,單胎,93
112,按登記日期分,65000010,新北市板橋區,女,2001～2500克,雙胞胎,19
112,按登記日期分,65000010,新北市板橋區,女,2001～2500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,2001～2500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,2001～2500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,2501～3000克,單胎,476
112,按登記日期分,65000010,新北市板橋區,女,2501～3000克,雙胞胎,8
112,按登記日期分,65000010,新北市板橋區,女,2501～3000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,2501～3000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,2501～3000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,3001～3500克,單胎,474
112,按登記日期分,65000010,新北市板橋區,女,3001～3500克,雙胞胎,1
112,按登記日期分,65000010,新北市板橋區,女,3001～3500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,3001～3500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,3001～3500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,3501～4000克,單胎,97
112,按登記日期分,65000010,新北市板橋區,女,3501～4000克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,3501～4000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,3501～4000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,3501～4000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,4001～4500克,單胎,12
112,按登記日期分,65000010,新北市板橋區,女,4001～4500克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4001～4500克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4001～4500克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4001～4500克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,4501～5000克,單胎,0
112,按登記日期分,65000010,新北市板橋區,女,4501～5000克,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4501～5000克,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4501～5000克,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4501～5000克,５胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,5001克及以上,單胎,0
112,按登記日期分,65000010,新北市板橋區,女,5001克及以上,雙胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,5001克及以上,３胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,5001克及以上,４胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,5001克及以上,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,1000克及以下,單胎,7
112,按登記日期分,65000020,新北市三重區,男,1000克及以下,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1000克及以下,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1000克及以下,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1000克及以下,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,1001～1500克,單胎,8
112,按登記日期分,65000020,新北市三重區,男,1001～1500克,雙胞胎,4
112,按登記日期分,65000020,新北市三重區,男,1001～1500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1001～1500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1001～1500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,1501～2000克,單胎,9
112,按登記日期分,65000020,新北市三重區,男,1501～2000克,雙胞胎,1
112,按登記日期分,65000020,新北市三重區,男,1501～2000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1501～2000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,1501～2000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,2001～2500克,單胎,46
112,按登記日期分,65000020,新北市三重區,男,2001～2500克,雙胞胎,12
112,按登記日期分,65000020,新北市三重區,男,2001～2500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,2001～2500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,2001～2500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,2501～3000克,單胎,277
112,按登記日期分,65000020,新北市三重區,男,2501～3000克,雙胞胎,9
112,按登記日期分,65000020,新北市三重區,男,2501～3000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,2501～3000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,2501～3000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,3001～3500克,單胎,403
112,按登記日期分,65000020,新北市三重區,男,3001～3500克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3001～3500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3001～3500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3001～3500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,3501～4000克,單胎,92
112,按登記日期分,65000020,新北市三重區,男,3501～4000克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3501～4000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3501～4000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,3501～4000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,4001～4500克,單胎,14
112,按登記日期分,65000020,新北市三重區,男,4001～4500克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4001～4500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4001～4500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4001～4500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,4501～5000克,單胎,0
112,按登記日期分,65000020,新北市三重區,男,4501～5000克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4501～5000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4501～5000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4501～5000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,5001克及以上,單胎,0
112,按登記日期分,65000020,新北市三重區,男,5001克及以上,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,男,5001克及以上,３胞胎,0
112,按登記日期分,65000020,新北市三重區,男,5001克及以上,４胞胎,0
112,按登記日期分,65000020,新北市三重區,男,5001克及以上,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,1000克及以下,單胎,2
112,按登記日期分,65000020,新北市三重區,女,1000克及以下,雙胞胎,1
112,按登記日期分,65000020,新北市三重區,女,1000克及以下,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,1000克及以下,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,1000克及以下,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,1001～1500克,單胎,2
112,按登記日期分,65000020,新北市三重區,女,1001～1500克,雙胞胎,2
112,按登記日期分,65000020,新北市三重區,女,1001～1500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,1001～1500克,４胞胎,0
