,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
基隆市,17672,17275,16939,17355,17010,16449,16141,18540,19073,18182
新北市,164552,161943,160711,170722,177246,173605,166656,195929,210461,187192
臺北市,133729,127081,122673,128286,125536,117562,108058,153880,164913,123676
桃園市,117542,108929,107644,107880,105690,105073,101473,119595,122067,115266
新竹市,20937,21110,20915,22246,21427,20957,21622,21584,22755,21457
新竹縣,23840,23668,22843,25105,25701,25863,25937,26958,28273,27237
苗栗縣,16228,15332,15248,16443,16293,16129,16134,19439,19739,18993
臺中市,133007,128155,125331,129049,124952,123707,121383,140357,147731,151561
南投縣,14813,13769,13676,14565,14466,13475,12793,15029,15215,14364
彰化縣,34874,33100,31318,33994,32551,31523,30309,36074,35425,33425
雲林縣,20602,19275,19230,20922,19449,18635,18001,21004,20067,22556
嘉義縣,15821,15012,14460,15009,14126,13760,12626,15403,15127,14958
嘉義市,11638,10844,10852,10968,10804,10171,10458,11289,11497,11082
臺南市,70109,68842,69996,72116,70844,68800,67905,76076,78460,79472
高雄市,120208,117099,115076,113497,115950,113084,111722,124348,126931,123514
屏東縣,26657,26676,25465,28228,26208,25185,24995,31312,28386,27790
宜蘭縣,19754,18620,18281,18471,17949,17550,18879,21562,21822,22071
花蓮縣,16639,15294,14586,16478,14543,14281,14022,14952,14299,14013
臺東縣,8071,7484,7739,8704,7153,7179,7293,8463,7549,7254
澎湖縣,5410,5516,5289,5189,5514,5190,5248,6017,5957,5636
金門縣,10952,8567,8626,8435,7614,6940,7581,7468,9565,7157
連江縣,1053,945,1151,1153,1017,1133,1467,1433,1236,1068
