,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
基隆市,18254,16888,16915,17807,17208,16757,18316,18800,16001,16720
新北市,174864,164454,161316,166692,157582,163028,186661,199515,153397,167408
臺北市,143115,146197,142695,147918,152509,162002,184155,191337,129378,142081
桃園市,80874,78095,78126,84770,87168,93567,103941,112936,87893,95040
新竹市,21272,19715,18746,19120,19388,19328,21105,21740,18429,20748
新竹縣,21493,19988,19467,20986,19451,19532,21392,21554,18961,21157
苗栗縣,20457,19722,19503,19738,17709,16783,17842,18794,16578,17382
臺中市,118640,114095,112934,117781,117470,120288,128538,136518,112532,132412
南投縣,18429,16775,16234,16979,15641,15160,16460,16925,14598,16161
彰化縣,40551,38449,38615,40644,39405,39359,42188,43704,39063,43950
雲林縣,24445,21577,20939,22109,21199,19993,21236,21805,19726,22382
嘉義縣,18396,16720,15860,16145,15479,14888,15684,16349,14783,16517
嘉義市,12355,11482,11261,11528,11409,11184,11036,11920,9675,11200
臺南市,70290,67814,68284,71991,70140,70245,74478,76144,62934,72429
高雄市,122243,117038,116427,115487,113911,117567,128089,131573,107356,120185
屏東縣,30473,28722,27529,29115,28801,27756,28794,31140,26815,28692
宜蘭縣,20118,18937,18533,19009,18097,17609,19955,20941,18859,20732
花蓮縣,17503,15597,15342,16642,15414,15159,15923,15720,13855,14190
臺東縣,9273,8107,8106,8499,8364,7757,8078,8034,7377,7611
澎湖縣,4837,4587,4670,4794,4791,4484,4776,4906,5073,5214
金門縣,6522,6864,6797,7127,7117,6794,6921,7667,6456,7493
連江縣,1123,1006,941,1046,1072,989,1145,1120,1210,1191
