縣市,模型,預測年份,預測人口
基隆市,LinearRegression,2024,362304
基隆市,RandomForest,2024,363297
新北市,LinearRegression,2024,4041089
新北市,RandomForest,2024,4014007
臺北市,LinearRegression,2024,2510451
臺北市,RandomForest,2024,2536330
桃園市,LinearRegression,2024,2312014
桃園市,RandomForest,2024,2248308
新竹市,LinearRegression,2024,456564
新竹市,RandomForest,2024,451316
新竹縣,LinearRegression,2024,589335
新竹縣,RandomForest,2024,576103
苗栗縣,LinearRegression,2024,533812
苗栗縣,RandomForest,2024,537059
臺中市,LinearRegression,2024,2845966
臺中市,RandomForest,2024,2806329
南投縣,LinearRegression,2024,476883
南投縣,RandomForest,2024,484097
彰化縣,LinearRegression,2024,1238585
彰化縣,RandomForest,2024,1255308
雲林縣,LinearRegression,2024,659756
雲林縣,RandomForest,2024,669406
嘉義縣,LinearRegression,2024,484542
嘉義縣,RandomForest,2024,492956
嘉義市,LinearRegression,2024,263604
嘉義市,RandomForest,2024,263794
臺南市,LinearRegression,2024,1860201
臺南市,RandomForest,2024,1861095
高雄市,LinearRegression,2024,2737424
高雄市,RandomForest,2024,2743704
屏東縣,LinearRegression,2024,795107
屏東縣,RandomForest,2024,807665
宜蘭縣,LinearRegression,2024,449884
宜蘭縣,RandomForest,2024,450153
花蓮縣,LinearRegression,2024,317456
花蓮縣,RandomForest,2024,322302
臺東縣,LinearRegression,2024,211480
臺東縣,RandomForest,2024,215071
澎湖縣,LinearRegression,2024,107737
澎湖縣,RandomForest,2024,106621
金門縣,LinearRegression,2024,144960
金門縣,RandomForest,2024,140344
連江縣,LinearRegression,2024,14000
連江縣,RandomForest,2024,13555
