縣市,年份,實際人口,LinearRegression,RandomForest
基隆市,2023,362255,362258.05225542275,362550.9
基隆市,2022,361526,361518.61729935557,362532.01
基隆市,2021,363977,363986.98383570934,365176.9
基隆市,2020,367577,367558.24639917654,367682.42
基隆市,2019,368893,368921.4196182108,368649.96
基隆市,2018,370155,370135.4095909486,370011.71
基隆市,2017,371458,371458.6555238367,371237.58
基隆市,2016,372100,372103.61547733966,371758.75
新北市,2021,4008113,4008121.212073015,4006341.23
新北市,2020,4030954,4030934.4815735067,4021970.25
新北市,2019,4018696,4018717.5415962827,4018294.47
新北市,2018,3995717,3995761.4968081294,3994606.76
新北市,2017,3986689,3986619.197833836,3988419.01
新北市,2016,3979208,3979230.121788786,3982246.03
新北市,2022,3995551,3995547.973997815,4003534.29
新北市,2023,4041120,4041115.974328629,4033938.56
臺北市,2016,2695704,2695717.0539550236,2687172.8
臺北市,2017,2683257,2683228.79840207,2681343.02
臺北市,2018,2668572,2668593.6418383094,2667749.24
臺北市,2019,2645041,2645026.0123845516,2642914.7
臺北市,2020,2602418,2602430.9631929533,2610089.34
臺北市,2021,2524393,2524387.5934397317,2539729.6
臺北市,2022,2480681,2480683.234886454,2498286.12
臺北市,2023,2511886,2511884.7019009064,2514424.74
桃園市,2017,2188017,2187965.3277534256,2189656.58
桃園市,2018,2220872,2220945.225332547,2217113.29
桃園市,2019,2249037,2249049.240422968,2247948.39
桃園市,2020,2268807,2268766.4968961896,2262356.85
桃園市,2021,2272391,2272391.382796206,2272586.35
桃園市,2022,2281464,2281468.7874510484,2285114.27
桃園市,2016,2147763,2147766.354797434,2164090.54
桃園市,2023,2317445,2317443.184550179,2299865.76
新竹市,2016,437337,437348.4784093513,439180.53
新竹市,2017,441132,441124.9546468858,441620.94
新竹市,2018,445635,445622.9326274984,445134.45
新竹市,2019,448803,448803.0,448814.52
新竹市,2020,451412,451421.0327331384,450551.28
新竹市,2021,452640,452638.2850058035,452275.02
新竹市,2022,452473,452468.13734660443,453255.53
新竹市,2023,456475,456480.1792307183,455048.53
新竹縣,2017,552169,552174.7351269022,553244.14
新竹縣,2018,557010,557018.9398168805,557353.64
新竹縣,2019,563933,563922.3874756545,565433.22
新竹縣,2016,547481,547479.9317440989,550518.78
新竹縣,2021,575580,575582.8522607667,574297.41
新竹縣,2022,580503,580495.3352251784,579256.64
新竹縣,2023,589289,589299.4057381878,585304.72
新竹縣,2020,570775,570766.4126123312,570366.73
苗栗縣,2023,534575,534571.6773065517,535226.32
苗栗縣,2022,535132,535141.4609397618,535781.48
苗栗縣,2021,538178,538167.4776735202,539652.77
苗栗縣,2020,542590,542577.3554900116,541955.52
苗栗縣,2019,545459,545462.2354384497,545106.05
苗栗縣,2018,548863,548907.4421781206,548471.56
苗栗縣,2017,553807,553767.2090109028,553603.62
苗栗縣,2016,559189,559198.1419626817,556973.5
臺中市,2016,2767239,2767293.3690013895,2774677.96
臺中市,2019,2815261,2815305.873325859,2815417.06
臺中市,2020,2820787,2820791.7792579946,2818688.41
臺中市,2021,2813490,2813484.1924916506,2815426.4
臺中市,2022,2814459,2814454.010176555,2819788.05
臺中市,2023,2845909,2845909.450467428,2835693.69
臺中市,2017,2787070,2786982.1021214314,2788901.85
臺中市,2018,2803894,2803888.223157692,2800926.84
南投縣,2016,505163,505163.811962678,503456.35
南投縣,2022,479595,479595.69046882755,480600.45
南投縣,2023,477094,477093.3095311724,478998.34
南投縣,2021,484897,484896.23691796203,487892.24
南投縣,2020,490832,490829.0653455152,491750.13
南投縣,2019,494112,494113.86181947566,493172.06
南投縣,2018,497031,497039.60907287284,495886.84
南投縣,2017,501051,501043.4148814964,499842.89
