,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
基隆市,37.4914,37.3077,37.2105,37.21,37.1458,37.0155,36.8893,36.7577,36.3977,36.1526,36.2255,36.1441
新北市,395.4929,396.6818,397.0644,397.9208,398.6689,399.5717,401.8696,403.0954,400.8113,399.5551,404.112,404.7001
臺北市,268.6516,270.2315,270.481,269.5704,268.3257,266.8572,264.5041,260.2418,252.4393,248.0681,251.1886,249.0869
桃園市,204.4023,205.8328,210.578,214.7763,218.8017,222.0872,224.9037,226.8807,227.2391,228.1464,231.7445,233.8648
新竹市,42.8483,43.1988,43.406,43.7337,44.1132,44.5635,44.8803,45.1412,45.264,45.2473,45.6475,45.7242
新竹縣,53.0486,53.763,54.2042,54.7481,55.2169,55.701,56.3933,57.0775,57.558,58.0503,58.9289,59.4641
苗栗縣,56.5554,56.7132,56.3912,55.9189,55.3807,54.8863,54.5459,54.259,53.8178,53.5132,53.4575,53.2854
臺中市,270.1661,271.9835,274.4445,276.7239,278.707,280.3894,281.5261,282.0787,281.349,281.4459,284.5909,286.0601
南投縣,51.7222,51.4315,50.949,50.5163,50.1051,49.7031,49.4112,49.0832,48.4897,47.9595,47.7094,47.2299
彰化縣,129.6013,129.1474,128.9072,128.7146,128.2458,127.7824,127.2802,126.667,125.533,124.5239,123.9048,122.5675
雲林縣,70.7792,70.5356,69.9633,69.4873,69.0373,68.6022,68.1306,67.6873,67.0132,66.4092,65.9468,65.8427
嘉義縣,52.9229,52.4783,51.9839,51.532,51.1182,50.7068,50.3113,49.9481,49.3316,48.8158,48.456,47.8786
嘉義市,27.0872,27.0883,27.0366,26.9874,26.9398,26.8622,26.769,26.6005,26.4727,26.2924,26.3584,26.2177
臺南市,188.3208,188.4284,188.5541,188.6033,188.6522,188.3831,188.0906,187.4917,186.2059,185.2997,185.9946,185.8651
高雄市,277.9877,277.8992,277.8918,277.9371,277.6912,277.3533,277.3198,276.5932,274.4691,272.8137,273.7941,273.1412
屏東縣,85.2286,84.7917,84.1253,83.5792,82.9939,82.5406,81.9184,81.2658,80.444,79.8703,79.4997,78.9239
宜蘭縣,45.8456,45.8777,45.8117,45.7538,45.6607,45.5221,45.4178,45.3087,45.0692,44.9062,44.989,44.9212
花蓮縣,33.3897,33.3392,33.1945,33.0911,32.9237,32.7968,32.6247,32.4372,32.1358,31.8892,31.7489,31.5374
臺東縣,22.4821,22.447,22.2452,22.0802,21.954,21.8919,21.6781,21.5261,21.3386,21.2551,21.1544,21.0219
澎湖縣,10.04,10.1758,10.2304,10.3263,10.4073,10.444,10.5207,10.5952,10.634,10.7223,10.7739,10.7901
金門縣,12.0713,12.7723,13.2799,13.5114,13.7456,13.9273,14.0185,14.0597,14.1539,14.1295,14.4149,14.3601
連江縣,1.2165,1.2506,1.2547,1.2595,1.288,1.3056,1.3089,1.3279,1.3645,1.3983,1.4039,1.395
